Metascore,NameGame,NameConsole,Userscore,NameCompany,Fecha
86,Titanfall,XONE,6.7,Microsoft,2014-03-11 00:00:00.0
85,Hotline Miami,VITA,8.4,Sony,2013-06-25 00:00:00.0
85,Project Gotham Racing,XBOX,8.2,Microsoft,2001-11-14 00:00:00.0
85,Battlefield 4,PS4,7.0,Sony,2013-11-12 00:00:00.0
96,The Legend of Zelda: Twilight Princess,GC,8.9,Nintendo,2006-12-11 00:00:00.0
94,Final Fantasy IX,PS,9.2,Sony,2000-11-13 00:00:00.0
92,NHL 2002,PS2,8.5,Sony,2001-09-24 00:00:00.0
92,Super Smash Bros. for Wii U,WIIU,9.0,Nintendo,2014-11-21 00:00:00.0
90,Dead Cells,Switch,8.5,Nintendo,2018-08-07 00:00:00.0
89,Cave Story,WII,8.8,Nintendo,2010-03-22 00:00:00.0
89,WWF No Mercy,N64,8.8,Nintendo,2000-11-17 00:00:00.0
88,The Stanley Parable,PC,8.0,PC,2013-10-17 00:00:00.0
87,Hotline Miami,PS3,8.3,Sony,2013-06-25 00:00:00.0
87,Pinball FX 2: Star Wars Pinball,X360,6.4,Microsoft,2013-02-27 00:00:00.0
87,Metropolis Street Racer,DC,8.8,Sega,2001-01-15 00:00:00.0
86,Professor Layton and the Unwound Future,DS,8.9,Nintendo,2010-09-12 00:00:00.0
86,PixelJunk Monsters Deluxe,PSP,8.0,Sony,2009-09-30 00:00:00.0
86,Diablo III: Ultimate Evil Edition,XONE,7.8,Microsoft,2014-08-19 00:00:00.0
85,NBA 2K14,PS4,6.5,Sony,2013-11-12 00:00:00.0
85,Terraria,VITA,8.0,Sony,2013-12-17 00:00:00.0
84,Silent Hill 2: Restless Dreams,XBOX,8.5,Microsoft,2001-12-20 00:00:00.0
84,Super Street Fighter II: Turbo Revival,GBA,7.8,Nintendo,2001-10-30 00:00:00.0
84,Etrian Odyssey IV: Legends of the Titan,3DS,8.3,Nintendo,2013-02-26 00:00:00.0
94,Chrono Cross,PS,8.8,Sony,2000-08-15 00:00:00.0
92,Final Fantasy X,PS2,8.9,Sony,2001-12-17 00:00:00.0
91,Bayonetta 2,WIIU,9.0,Nintendo,2014-09-20 00:00:00.0
90,Fez,PS4,6.3,Sony,2014-03-25 00:00:00.0
90,Bayonetta + Bayonetta 2,Switch,8.7,Nintendo,2018-02-16 00:00:00.0
89,World Soccer Winning Eleven 9,XBOX,7.9,Microsoft,2006-02-07 00:00:00.0
88,DJ Hero 2,WII,7.5,Nintendo,2010-10-19 00:00:00.0
88,Excitebike 64,N64,8.0,Nintendo,2000-04-30 00:00:00.0
88,Guacamelee! Gold Edition,PC,7.3,PC,2013-08-08 00:00:00.0
87,Diablo III,X360,6.7,Microsoft,2013-09-03 00:00:00.0
87,Bangai-O,DC,8.1,Sega,2001-03-21 00:00:00.0
86,Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,PS3,8.0,Sony,2013-03-05 00:00:00.0
86,Final Fantasy X / X-2 HD Remaster,VITA,8.9,Sony,2014-03-18 00:00:00.0
86,Tomb Raider: Definitive Edition,XONE,7.7,Microsoft,2014-01-28 00:00:00.0
85,Shantae: Risky's Revenge,DS,8.4,Nintendo,2010-10-04 00:00:00.0
85,Bravely Default,3DS,8.4,Nintendo,2014-02-07 00:00:00.0
85,LocoRoco 2,PSP,8.5,Sony,2009-02-10 00:00:00.0
84,Spider-Man: Mysterio's Menace,GBA,7.8,Nintendo,2001-09-19 00:00:00.0
